priority,delay,speed,congestion,weather,time_of_day,passenger_load,fuel_level,platform_available,distance_to_next,track_condition,historical_punctuality,decision
Local,4.7,37.8,1,Sunny,Peak,31.2,97.3,False,8.9,Good,82.4,Move
Express,7.4,50.7,3,Rainy,Peak,63.6,28.0,True,3.6,Damaged,60.0,Stop
Freight,0.7,48.0,2,Sunny,Peak,75.0,33.3,True,5.4,Good,30.2,Move
Express,34.9,83.9,5,Cloudy,Peak,66.2,42.1,True,1.6,Damaged,50.7,Stop
Local,43.3,46.5,0,Cloudy,Non-Peak,43.3,16.7,True,2.2,Maintenance,73.0,Slow Down
Local,0.7,79.5,3,Foggy,Peak,32.1,78.5,True,4.1,Damaged,43.8,Stop
Freight,0.3,31.6,3,Foggy,Non-Peak,80.5,82.7,True,5.0,Good,72.2,Slow Down
Freight,7.8,70.3,3,Sunny,Peak,75.1,10.6,False,3.6,Good,57.1,Stop
Freight,28.6,64.3,5,Foggy,Non-Peak,9.4,35.1,True,11.9,Damaged,86.8,Stop
Freight,2.8,36.6,4,Cloudy,Peak,50.2,85.2,False,1.9,Good,72.3,Slow Down
Local,2.6,38.8,3,Foggy,Non-Peak,65.4,83.5,True,4.1,Damaged,79.1,Stop
Express,23.1,55.9,4,Sunny,Peak,48.3,24.5,False,11.4,Good,82.5,Move
Express,8.0,81.0,2,Sunny,Non-Peak,58.4,69.2,False,4.2,Maintenance,93.7,Slow Down
Local,36.1,44.6,6,Foggy,Peak,76.8,68.1,False,1.0,Maintenance,54.0,Stop
Express,5.6,51.0,3,Foggy,Peak,60.3,18.7,True,4.8,Damaged,71.9,Stop
Local,13.5,37.1,4,Rainy,Peak,50.9,55.1,False,8.0,Maintenance,67.5,Slow Down
Freight,4.1,44.5,1,Cloudy,Peak,84.1,12.7,False,0.5,Good,85.3,Stop
Express,14.7,53.3,2,Sunny,Non-Peak,64.3,75.3,False,18.6,Maintenance,34.1,Slow Down
Express,5.8,44.6,1,Rainy,Non-Peak,48.6,35.2,True,15.5,Damaged,42.1,Stop
Freight,2.8,80.6,2,Stormy,Non-Peak,20.2,52.6,True,1.0,Maintenance,67.6,Stop
Express,0.5,88.8,3,Rainy,Non-Peak,22.6,94.6,False,4.3,Damaged,79.2,Stop
Freight,28.4,102.2,4,Foggy,Peak,67.6,86.0,True,0.5,Damaged,46.7,Stop
Freight,9.9,67.2,2,Sunny,Peak,90.7,40.7,True,13.4,Good,28.1,Move
Local,1.1,51.2,5,Rainy,Non-Peak,57.4,61.6,True,5.0,Maintenance,50.9,Slow Down
Freight,14.0,72.5,1,Cloudy,Non-Peak,33.7,20.5,False,0.8,Damaged,54.8,Stop
Express,12.1,50.6,2,Sunny,Non-Peak,68.8,60.3,False,2.8,Good,66.6,Move
Freight,6.3,39.9,1,Stormy,Peak,72.3,96.6,False,2.3,Good,81.1,Stop
Local,0.1,61.4,2,Foggy,Peak,33.0,50.9,True,4.9,Damaged,74.7,Stop
Freight,3.2,79.5,2,Cloudy,Peak,31.7,72.8,True,3.8,Maintenance,85.0,Slow Down
Express,24.2,74.8,3,Cloudy,Peak,54.3,23.5,False,4.5,Maintenance,65.1,Slow Down
Express,3.2,84.8,1,Sunny,Non-Peak,49.2,86.5,False,1.4,Good,57.1,Slow Down
Express,2.6,81.2,1,Rainy,Peak,49.9,86.7,True,4.0,Damaged,74.0,Stop
Freight,0.3,79.4,4,Sunny,Peak,6.1,41.3,True,3.6,Damaged,41.0,Stop
Freight,29.9,25.9,4,Cloudy,Peak,42.2,41.1,False,11.4,Damaged,75.7,Stop
Local,0.4,70.1,1,Stormy,Peak,70.0,55.3,True,5.9,Damaged,55.9,Stop
Freight,0.6,77.0,2,Stormy,Non-Peak,12.4,51.6,False,6.9,Damaged,50.6,Stop
Freight,7.2,40.2,2,Sunny,Peak,14.7,11.8,True,1.9,Good,80.4,Stop
Freight,9.0,81.1,1,Sunny,Peak,37.1,21.5,True,1.7,Good,60.2,Slow Down
Express,43.1,98.2,2,Sunny,Peak,53.8,35.7,True,1.0,Good,69.8,Slow Down
Freight,17.0,58.3,1,Sunny,Peak,55.7,35.2,False,7.3,Damaged,79.8,Stop
Freight,2.8,65.2,2,Rainy,Peak,43.9,22.1,False,0.5,Good,53.0,Stop
Freight,11.4,48.5,4,Stormy,Peak,51.5,76.7,True,4.3,Good,65.4,Stop
Local,1.8,67.9,4,Stormy,Non-Peak,86.9,37.1,False,6.9,Maintenance,49.2,Stop
Freight,7.8,55.6,4,Sunny,Peak,39.2,58.0,True,11.2,Maintenance,55.6,Slow Down
Local,13.6,61.4,4,Foggy,Peak,45.6,23.5,True,1.3,Good,40.6,Slow Down
Express,7.8,87.1,2,Cloudy,Non-Peak,38.8,95.3,True,0.8,Maintenance,33.6,Slow Down
Express,20.6,62.2,4,Foggy,Non-Peak,37.3,93.3,True,3.0,Good,61.4,Slow Down
Freight,5.1,81.9,1,Cloudy,Peak,68.2,41.2,True,2.1,Damaged,38.5,Stop
Local,1.5,59.9,5,Sunny,Peak,26.2,99.7,True,3.5,Good,53.4,Slow Down
Freight,22.8,59.5,1,Stormy,Non-Peak,60.5,79.8,True,3.0,Maintenance,14.0,Stop
Express,1.7,65.8,4,Rainy,Non-Peak,36.4,12.4,True,1.3,Maintenance,56.9,Stop
Freight,10.6,57.4,1,Stormy,Non-Peak,80.3,45.7,False,5.5,Damaged,77.8,Stop
Local,0.9,66.5,4,Cloudy,Non-Peak,59.2,46.8,True,4.0,Good,71.7,Move
